Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,974.132716797775,974.132716797775,974.132716797775,974.132716797775,974.132716797775,2023-09-18,0,0,0,0,0,0
,965.7205606456862,965.7205606456862,965.7205606456862,965.7205606456862,965.7205606456862,2023-09-20,0,0,0,0,0,0
,964.1464092816628,964.1464092816628,964.1464092816628,964.1464092816628,964.1464092816628,2023-09-21,0,0,0,0,0,0
,941.0745118327472,941.0745118327472,941.0745118327472,941.0745118327472,941.0745118327472,2023-09-22,0,0,0,0,0,0
,934.974521142832,934.974521142832,934.974521142832,934.974521142832,934.974521142832,2023-09-25,0,0,0,0,0,0
,943.4850278666348,943.4850278666348,943.4850278666348,943.4850278666348,943.4850278666348,2023-09-26,0,0,0,0,0,0
,931.0390306872604,931.0390306872604,931.0390306872604,931.0390306872604,931.0390306872604,2023-09-27,0,0,0,0,0,0
,930.25193740976,930.25193740976,930.25193740976,930.25193740976,930.25193740976,2023-09-28,0,0,0,0,0,0
,931.4326152919224,931.4326152919224,931.4326152919224,931.4326152919224,931.4326152919224,2023-09-29,0,0,0,0,0,0
,936.2535565130628,936.2535565130628,936.2535565130628,936.2535565130628,936.2535565130628,2023-10-03,0,0,0,0,0,0
,919.9212698646452,919.9212698646452,919.9212698646452,919.9212698646452,919.9212698646452,2023-10-04,0,0,0,0,0,0
,920.1180941808708,920.1180941808708,920.1180941808708,920.1180941808708,920.1180941808708,2023-10-05,0,0,0,0,0,0
,930.743934599139,930.743934599139,930.743934599139,930.743934599139,930.743934599139,2023-10-06,0,0,0,0,0,0
,925.0866714522842,925.0866714522842,925.0866714522842,925.0866714522842,925.0866714522842,2023-10-09,0,0,0,0,0,0
,925.2342295793238,925.2342295793238,925.2342295793238,925.2342295793238,925.2342295793238,2023-10-10,0,0,0,0,0,0
,939.5003896293224,939.5003896293224,939.5003896293224,939.5003896293224,939.5003896293224,2023-10-11,0,0,0,0,0,0
,937.4833935799946,937.4833935799946,937.4833935799946,937.4833935799946,937.4833935799946,2023-10-12,0,0,0,0,0,0
,934.630230440708,934.630230440708,934.630230440708,934.630230440708,934.630230440708,2023-10-13,0,0,0,0,0,0
,933.2036287753874,933.2036287753874,933.2036287753874,933.2036287753874,933.2036287753874,2023-10-16,0,0,0,0,0,0
,939.9923501245348,939.9923501245348,939.9923501245348,939.9923501245348,939.9923501245348,2023-10-17,0,0,0,0,0,0
,933.892271271344,933.892271271344,933.892271271344,933.892271271344,933.892271271344,2023-10-18,0,0,0,0,0,0
,920.9051479428266,920.9051479428266,920.9051479428266,920.9051479428266,920.9051479428266,2023-10-19,0,0,0,0,0,0
