Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,2173.455557590161,2173.455557590161,2173.455557590161,2173.455557590161,2173.455557590161,2023-04-25,0,0,0,0,0,0
,2189.821626689629,2189.821626689629,2189.821626689629,2189.821626689629,2189.821626689629,2023-04-26,0,0,0,0,0,0
,2217.0015369973203,2217.0015369973203,2217.0015369973203,2217.0015369973203,2217.0015369973203,2023-04-27,0,0,0,0,0,0
,2252.607899945765,2252.607899945765,2252.607899945765,2252.607899945765,2252.607899945765,2023-04-28,0,0,0,0,0,0
,2311.935925939101,2311.935925939101,2311.935925939101,2311.935925939101,2311.935925939101,2023-05-02,0,0,0,0,0,0
,2322.5545585942014,2322.5545585942014,2322.5545585942014,2322.5545585942014,2322.5545585942014,2023-05-03,0,0,0,0,0,0
,2300.83029005504,2300.83029005504,2300.83029005504,2300.83029005504,2300.83029005504,2023-05-04,0,0,0,0,0,0
,2296.154206098844,2296.154206098844,2296.154206098844,2296.154206098844,2296.154206098844,2023-05-05,0,0,0,0,0,0
,2316.076135297568,2316.076135297568,2316.076135297568,2316.076135297568,2316.076135297568,2023-05-08,0,0,0,0,0,0
,2306.528922848496,2306.528922848496,2306.528922848496,2306.528922848496,2306.528922848496,2023-05-09,0,0,0,0,0,0
,2325.3795398907587,2325.3795398907587,2325.3795398907587,2325.3795398907587,2325.3795398907587,2023-05-10,0,0,0,0,0,0
,2240.625746555419,2240.625746555419,2240.625746555419,2240.625746555419,2240.625746555419,2023-05-11,0,0,0,0,0,0
,2165.2722476880253,2165.2722476880253,2165.2722476880253,2165.2722476880253,2165.2722476880253,2023-05-12,0,0,0,0,0,0
,2163.567606621253,2163.567606621253,2163.567606621253,2163.567606621253,2163.567606621253,2023-05-15,0,0,0,0,0,0
,2196.39764629687,2196.39764629687,2196.39764629687,2196.39764629687,2196.39764629687,2023-05-16,0,0,0,0,0,0
,2166.928648598821,2166.928648598821,2166.928648598821,2166.928648598821,2166.928648598821,2023-05-17,0,0,0,0,0,0
,2172.4326524091007,2172.4326524091007,2172.4326524091007,2172.4326524091007,2172.4326524091007,2023-05-18,0,0,0,0,0,0
,2135.413284848188,2135.413284848188,2135.413284848188,2135.413284848188,2135.413284848188,2023-05-19,0,0,0,0,0,0
,2133.465244822393,2133.465244822393,2133.465244822393,2133.465244822393,2133.465244822393,2023-05-22,0,0,0,0,0,0
,2168.14638759478,2168.14638759478,2168.14638759478,2168.14638759478,2168.14638759478,2023-05-23,0,0,0,0,0,0
,2143.2069766023187,2143.2069766023187,2143.2069766023187,2143.2069766023187,2143.2069766023187,2023-05-24,0,0,0,0,0,0
,2133.464929935393,2133.464929935393,2133.464929935393,2133.464929935393,2133.464929935393,2023-05-25,0,0,0,0,0,0
,2151.9746633870272,2151.9746633870272,2151.9746633870272,2151.9746633870272,2151.9746633870272,2023-05-26,0,0,0,0,0,0
,2167.561870888348,2167.561870888348,2167.561870888348,2167.561870888348,2167.561870888348,2023-05-29,0,0,0,0,0,0
,2172.432329880932,2172.432329880932,2172.432329880932,2172.432329880932,2172.432329880932,2023-05-30,0,0,0,0,0,0
,2144.278586252809,2144.278586252809,2144.278586252809,2144.278586252809,2144.278586252809,2023-05-31,0,0,0,0,0,0
,2159.7681183844256,2159.7681183844256,2159.7681183844256,2159.7681183844256,2159.7681183844256,2023-06-01,0,0,0,0,0,0
,2163.6647368207714,2163.6647368207714,2163.6647368207714,2163.6647368207714,2163.6647368207714,2023-06-02,0,0,0,0,0,0
,2187.0453382789306,2187.0453382789306,2187.0453382789306,2187.0453382789306,2187.0453382789306,2023-06-05,0,0,0,0,0,0
,2210.425623625272,2210.425623625272,2210.425623625272,2210.425623625272,2210.425623625272,2023-06-06,0,0,0,0,0,0
,2219.1934047131426,2219.1934047131426,2219.1934047131426,2219.1934047131426,2219.1934047131426,2023-06-07,0,0,0,0,0,0
,2257.13793851376,2257.13793851376,2257.13793851376,2257.13793851376,2257.13793851376,2023-06-08,0,0,0,0,0,0
,2284.463936720568,2284.463936720568,2284.463936720568,2284.463936720568,2284.463936720568,2023-06-09,0,0,0,0,0,0
,2303.947325011856,2303.947325011856,2303.947325011856,2303.947325011856,2303.947325011856,2023-06-12,0,0,0,0,0,0
,2285.292002180139,2285.292002180139,2285.292002180139,2285.292002180139,2285.292002180139,2023-06-13,0,0,0,0,0,0
,2292.1597541124115,2292.1597541124115,2292.1597541124115,2292.1597541124115,2292.1597541124115,2023-06-14,0,0,0,0,0,0
,2294.20536120932,2294.20536120932,2294.20536120932,2294.20536120932,2294.20536120932,2023-06-15,0,0,0,0,0,0
,2302.729859971924,2302.729859971924,2302.729859971924,2302.729859971924,2302.729859971924,2023-06-16,0,0,0,0,0,0
,2317.586040028599,2317.586040028599,2317.586040028599,2317.586040028599,2317.586040028599,2023-06-19,0,0,0,0,0,0
,2303.898643999541,2303.898643999541,2303.898643999541,2303.898643999541,2303.898643999541,2023-06-20,0,0,0,0,0,0
