Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,1133.6865172838243,1133.6865172838243,1133.6865172838243,1133.6865172838243,1133.6865172838243,2023-06-06,0,0,0,0,0,0
,1135.3071289198083,1135.3071289198083,1135.3071289198083,1135.3071289198083,1135.3071289198083,2023-06-07,0,0,0,0,0,0
,1143.9805586437908,1143.9805586437908,1143.9805586437908,1143.9805586437908,1143.9805586437908,2023-06-08,0,0,0,0,0,0
,1144.4369244051345,1144.4369244051345,1144.4369244051345,1144.4369244051345,1144.4369244051345,2023-06-09,0,0,0,0,0,0
,1130.057315904061,1130.057315904061,1130.057315904061,1130.057315904061,1130.057315904061,2023-06-12,0,0,0,0,0,0
,1138.959165682283,1138.959165682283,1138.959165682283,1138.959165682283,1138.959165682283,2023-06-13,0,0,0,0,0,0
,1150.827933567815,1150.827933567815,1150.827933567815,1150.827933567815,1150.827933567815,2023-06-14,0,0,0,0,0,0
,1164.888030487722,1164.888030487722,1164.888030487722,1164.888030487722,1164.888030487722,2023-06-15,0,0,0,0,0,0
,1168.7227738269123,1168.7227738269123,1168.7227738269123,1168.7227738269123,1168.7227738269123,2023-06-16,0,0,0,0,0,0
,1179.5874324568545,1179.5874324568545,1179.5874324568545,1179.5874324568545,1179.5874324568545,2023-06-19,0,0,0,0,0,0
,1162.9480481347905,1162.9480481347905,1162.9480481347905,1162.9480481347905,1162.9480481347905,2023-06-20,0,0,0,0,0,0
,1167.2618659292657,1167.2618659292657,1167.2618659292657,1167.2618659292657,1167.2618659292657,2023-06-21,0,0,0,0,0,0
,1166.8053921892115,1166.8053921892115,1166.8053921892115,1166.8053921892115,1166.8053921892115,2023-06-22,0,0,0,0,0,0
,1154.4343325060674,1154.4343325060674,1154.4343325060674,1154.4343325060674,1154.4343325060674,2023-06-23,0,0,0,0,0,0
,1144.437098137329,1144.437098137329,1144.437098137329,1144.437098137329,1144.437098137329,2023-06-26,0,0,0,0,0,0
,1139.666736088607,1139.666736088607,1139.666736088607,1139.666736088607,1139.666736088607,2023-06-27,0,0,0,0,0,0
,1147.1760589375283,1147.1760589375283,1147.1760589375283,1147.1760589375283,1147.1760589375283,2023-06-28,0,0,0,0,0,0
,1162.4229485666156,1162.4229485666156,1162.4229485666156,1162.4229485666156,1162.4229485666156,2023-06-30,0,0,0,0,0,0
,1167.7413136446191,1167.7413136446191,1167.7413136446191,1167.7413136446191,1167.7413136446191,2023-07-03,0,0,0,0,0,0
,1198.3037415268395,1198.3037415268395,1198.3037415268395,1198.3037415268395,1198.3037415268395,2023-07-04,0,0,0,0,0,0
,1190.9997357239995,1190.9997357239995,1190.9997357239995,1190.9997357239995,1190.9997357239995,2023-07-05,0,0,0,0,0,0
,1175.958111582341,1175.958111582341,1175.958111582341,1175.958111582341,1175.958111582341,2023-07-06,0,0,0,0,0,0
,1202.8686056265724,1202.8686056265724,1202.8686056265724,1202.8686056265724,1202.8686056265724,2023-07-07,0,0,0,0,0,0
,1227.4738168988026,1227.4738168988026,1227.4738168988026,1227.4738168988026,1227.4738168988026,2023-07-10,0,0,0,0,0,0
,1256.6895309307056,1256.6895309307056,1256.6895309307056,1256.6895309307056,1256.6895309307056,2023-07-11,0,0,0,0,0,0
,1262.806571231475,1262.806571231475,1262.806571231475,1262.806571231475,1262.806571231475,2023-07-12,0,0,0,0,0,0
,1270.8408996155135,1270.8408996155135,1270.8408996155135,1270.8408996155135,1270.8408996155135,2023-07-13,0,0,0,0,0,0
,1255.3657025022662,1255.3657025022662,1255.3657025022662,1255.3657025022662,1255.3657025022662,2023-07-14,0,0,0,0,0,0
