Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,825.8122531130239,825.8122531130239,825.8122531130239,825.8122531130239,825.8122531130239,2023-03-14,0,0,0,0,0,0
,835.835689825817,835.835689825817,835.835689825817,835.835689825817,835.835689825817,2023-03-15,0,0,0,0,0,0
,819.3294536392584,819.3294536392584,819.3294536392584,819.3294536392584,819.3294536392584,2023-03-16,0,0,0,0,0,0
,832.7938167758774,832.7938167758774,832.7938167758774,832.7938167758774,832.7938167758774,2023-03-17,0,0,0,0,0,0
,833.7911436751785,833.7911436751785,833.7911436751785,833.7911436751785,833.7911436751785,2023-03-20,0,0,0,0,0,0
,837.8803087329111,837.8803087329111,837.8803087329111,837.8803087329111,837.8803087329111,2023-03-21,0,0,0,0,0,0
,853.3393206214389,853.3393206214389,853.3393206214389,853.3393206214389,853.3393206214389,2023-03-22,0,0,0,0,0,0
,844.7620800965633,844.7620800965633,844.7620800965633,844.7620800965633,844.7620800965633,2023-03-23,0,0,0,0,0,0
,844.0141063949059,844.0141063949059,844.0141063949059,844.0141063949059,844.0141063949059,2023-03-24,0,0,0,0,0,0
,838.8277998735553,838.8277998735553,838.8277998735553,838.8277998735553,838.8277998735553,2023-03-27,0,0,0,0,0,0
,835.1874828184127,835.1874828184127,835.1874828184127,835.1874828184127,835.1874828184127,2023-03-28,0,0,0,0,0,0
,830.3004281081028,830.3004281081028,830.3004281081028,830.3004281081028,830.3004281081028,2023-03-29,0,0,0,0,0,0
,852.641164867343,852.641164867343,852.641164867343,852.641164867343,852.641164867343,2023-03-31,0,0,0,0,0,0
,861.7171614119438,861.7171614119438,861.7171614119438,861.7171614119438,861.7171614119438,2023-04-03,0,0,0,0,0,0
,868.6986362029479,868.6986362029479,868.6986362029479,868.6986362029479,868.6986362029479,2023-04-05,0,0,0,0,0,0
,859.5229861540353,859.5229861540353,859.5229861540353,859.5229861540353,859.5229861540353,2023-04-06,0,0,0,0,0,0
,852.5414115625723,852.5414115625723,852.5414115625723,852.5414115625723,852.5414115625723,2023-04-10,0,0,0,0,0,0
,846.0087653724299,846.0087653724299,846.0087653724299,846.0087653724299,846.0087653724299,2023-04-11,0,0,0,0,0,0
,852.6412558734322,852.6412558734322,852.6412558734322,852.6412558734322,852.6412558734322,2023-04-12,0,0,0,0,0,0
,851.3945429743361,851.3945429743361,851.3945429743361,851.3945429743361,851.3945429743361,2023-04-13,0,0,0,0,0,0
,879.6696543336656,879.6696543336656,879.6696543336656,879.6696543336656,879.6696543336656,2023-04-17,0,0,0,0,0,0
