Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,1354.3340841928325,1354.3340841928325,1354.3340841928325,1354.3340841928325,1354.3340841928325,2023-08-30,0,0,0,0,0,0
,1362.0689838770345,1362.0689838770345,1362.0689838770345,1362.0689838770345,1362.0689838770345,2023-08-31,0,0,0,0,0,0
,1358.0828012171462,1358.0828012171462,1358.0828012171462,1358.0828012171462,1358.0828012171462,2023-09-01,0,0,0,0,0,0
,1369.5192997491522,1369.5192997491522,1369.5192997491522,1369.5192997491522,1369.5192997491522,2023-09-04,0,0,0,0,0,0
,1390.3991028092184,1390.3991028092184,1390.3991028092184,1390.3991028092184,1390.3991028092184,2023-09-05,0,0,0,0,0,0
,1406.4384315927011,1406.4384315927011,1406.4384315927011,1406.4384315927011,1406.4384315927011,2023-09-06,0,0,0,0,0,0
,1395.7138073410729,1395.7138073410729,1395.7138073410729,1395.7138073410729,1395.7138073410729,2023-09-07,0,0,0,0,0,0
,1388.9755404182238,1388.9755404182238,1388.9755404182238,1388.9755404182238,1388.9755404182238,2023-09-08,0,0,0,0,0,0
,1394.764952400206,1394.764952400206,1394.764952400206,1394.764952400206,1394.764952400206,2023-09-11,0,0,0,0,0,0
,1407.007820843618,1407.007820843618,1407.007820843618,1407.007820843618,1407.007820843618,2023-09-12,0,0,0,0,0,0
,1428.3621721582897,1428.3621721582897,1428.3621721582897,1428.3621721582897,1428.3621721582897,2023-09-13,0,0,0,0,0,0
,1428.3622350674373,1428.3622350674373,1428.3622350674373,1428.3622350674373,1428.3622350674373,2023-09-14,0,0,0,0,0,0
,1440.7002202288666,1440.7002202288666,1440.7002202288666,1440.7002202288666,1440.7002202288666,2023-09-15,0,0,0,0,0,0
,1428.267370107953,1428.267370107953,1428.267370107953,1428.267370107953,1428.267370107953,2023-09-18,0,0,0,0,0,0
,1401.028690971678,1401.028690971678,1401.028690971678,1401.028690971678,1401.028690971678,2023-09-20,0,0,0,0,0,0
,1410.8516516546968,1410.8516516546968,1410.8516516546968,1410.8516516546968,1410.8516516546968,2023-09-21,0,0,0,0,0,0
,1415.9291879191353,1415.9291879191353,1415.9291879191353,1415.9291879191353,1415.9291879191353,2023-09-22,0,0,0,0,0,0
,1413.9836057236516,1413.9836057236516,1413.9836057236516,1413.9836057236516,1413.9836057236516,2023-09-25,0,0,0,0,0,0
,1403.8284470627452,1403.8284470627452,1403.8284470627452,1403.8284470627452,1403.8284470627452,2023-09-26,0,0,0,0,0,0
,1381.857384596541,1381.857384596541,1381.857384596541,1381.857384596541,1381.857384596541,2023-09-27,0,0,0,0,0,0
,1393.151233477107,1393.151233477107,1393.151233477107,1393.151233477107,1393.151233477107,2023-09-28,0,0,0,0,0,0
,1359.174250338779,1359.174250338779,1359.174250338779,1359.174250338779,1359.174250338779,2023-09-29,0,0,0,0,0,0
,1362.9233171016476,1362.9233171016476,1362.9233171016476,1362.9233171016476,1362.9233171016476,2023-10-03,0,0,0,0,0,0
,1352.4359043163458,1352.4359043163458,1352.4359043163458,1352.4359043163458,1352.4359043163458,2023-10-04,0,0,0,0,0,0
,1378.0610831205893,1378.0610831205893,1378.0610831205893,1378.0610831205893,1378.0610831205893,2023-10-05,0,0,0,0,0,0
,1394.6698973295106,1394.6698973295106,1394.6698973295106,1394.6698973295106,1394.6698973295106,2023-10-06,0,0,0,0,0,0
,1390.3040713351108,1390.3040713351108,1390.3040713351108,1390.3040713351108,1390.3040713351108,2023-10-09,0,0,0,0,0,0
,1408.3365468053269,1408.3365468053269,1408.3365468053269,1408.3365468053269,1408.3365468053269,2023-10-10,0,0,0,0,0,0
,1420.769458978731,1420.769458978731,1420.769458978731,1420.769458978731,1420.769458978731,2023-10-11,0,0,0,0,0,0
,1415.929336863313,1415.929336863313,1415.929336863313,1415.929336863313,1415.929336863313,2023-10-12,0,0,0,0,0,0
,1333.4542976485548,1333.4542976485548,1333.4542976485548,1333.4542976485548,1333.4542976485548,2023-10-13,0,0,0,0,0,0
,1359.1743392210635,1359.1743392210635,1359.1743392210635,1359.1743392210635,1359.1743392210635,2023-10-16,0,0,0,0,0,0
,1366.909389500319,1366.909389500319,1366.909389500319,1366.909389500319,1366.909389500319,2023-10-17,0,0,0,0,0,0
,1368.5702082859857,1368.5702082859857,1368.5702082859857,1368.5702082859857,1368.5702082859857,2023-10-18,0,0,0,0,0,0
,1353.479923571707,1353.479923571707,1353.479923571707,1353.479923571707,1353.479923571707,2023-10-19,0,0,0,0,0,0
,1357.1813753161127,1357.1813753161127,1357.1813753161127,1357.1813753161127,1357.1813753161127,2023-10-20,0,0,0,0,0,0
,1353.0054028291024,1353.0054028291024,1353.0054028291024,1353.0054028291024,1353.0054028291024,2023-10-23,0,0,0,0,0,0
,1344.9457697053938,1344.9457697053938,1344.9457697053938,1344.9457697053938,1344.9457697053938,2023-10-25,0,0,0,0,0,0
,1302.6940498987915,1302.6940498987915,1302.6940498987915,1302.6940498987915,1302.6940498987915,2023-10-26,0,0,0,0,0,0
,1310.9617753926811,1310.9617753926811,1310.9617753926811,1310.9617753926811,1310.9617753926811,2023-10-27,0,0,0,0,0,0
,1327.0165416619768,1327.0165416619768,1327.0165416619768,1327.0165416619768,1327.0165416619768,2023-10-30,0,0,0,0,0,0
,1326.6317393233992,1326.6317393233992,1326.6317393233992,1326.6317393233992,1326.6317393233992,2023-10-31,0,0,0,0,0,0
,1319.9985056410244,1319.9985056410244,1319.9985056410244,1319.9985056410244,1319.9985056410244,2023-11-01,0,0,0,0,0,0
,1317.066221417181,1317.066221417181,1317.066221417181,1317.066221417181,1317.066221417181,2023-11-02,0,0,0,0,0,0
,1326.7281102555007,1326.7281102555007,1326.7281102555007,1326.7281102555007,1326.7281102555007,2023-11-03,0,0,0,0,0,0
,1340.0430044149878,1340.0430044149878,1340.0430044149878,1340.0430044149878,1340.0430044149878,2023-11-06,0,0,0,0,0,0
,1345.9072328244042,1345.9072328244042,1345.9072328244042,1345.9072328244042,1345.9072328244042,2023-11-07,0,0,0,0,0,0
,1350.713954242676,1350.713954242676,1350.713954242676,1350.713954242676,1350.713954242676,2023-11-08,0,0,0,0,0,0
,1341.9656288206843,1341.9656288206843,1341.9656288206843,1341.9656288206843,1341.9656288206843,2023-11-09,0,0,0,0,0,0
,1317.0181683643543,1317.0181683643543,1317.0181683643543,1317.0181683643543,1317.0181683643543,2023-11-10,0,0,0,0,0,0
