Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,227.0941162109375,227.0941162109375,227.0941162109375,227.0941162109375,227.0941162109375,2025-02-10,0,0,0,0,0,0
,232.051986694336,232.051986694336,232.051986694336,232.051986694336,232.051986694336,2025-02-11,0,0,0,0,0,0
,236.29161071777344,236.29161071777344,236.29161071777344,236.29161071777344,236.29161071777344,2025-02-12,0,0,0,0,0,0
,240.9402313232422,240.9402313232422,240.9402313232422,240.9402313232422,240.9402313232422,2025-02-13,0,0,0,0,0,0
,244.00274658203125,244.00274658203125,244.00274658203125,244.00274658203125,244.00274658203125,2025-02-14,0,0,0,0,0,0
,243.87306213378903,243.87306213378903,243.87306213378903,243.87306213378903,243.87306213378903,2025-02-18,0,0,0,0,0,0
,244.27207946777344,244.27207946777344,244.27207946777344,244.27207946777344,244.27207946777344,2025-02-19,0,0,0,0,0,0
,245.2297515869141,245.2297515869141,245.2297515869141,245.2297515869141,245.2297515869141,2025-02-20,0,0,0,0,0,0
,244.950424194336,244.950424194336,244.950424194336,244.950424194336,244.950424194336,2025-02-21,0,0,0,0,0,0
,246.49664306640625,246.49664306640625,246.49664306640625,246.49664306640625,246.49664306640625,2025-02-24,0,0,0,0,0,0
,246.4367828369141,246.4367828369141,246.4367828369141,246.4367828369141,246.4367828369141,2025-02-25,0,0,0,0,0,0
,239.77310180664065,239.77310180664065,239.77310180664065,239.77310180664065,239.77310180664065,2025-02-26,0,0,0,0,0,0
,236.72056579589844,236.72056579589844,236.72056579589844,236.72056579589844,236.72056579589844,2025-02-27,0,0,0,0,0,0
,241.24948120117188,241.24948120117188,241.24948120117188,241.24948120117188,241.24948120117188,2025-02-28,0,0,0,0,0,0
,237.4487762451172,237.4487762451172,237.4487762451172,237.4487762451172,237.4487762451172,2025-03-03,0,0,0,0,0,0
,235.3539123535156,235.3539123535156,235.3539123535156,235.3539123535156,235.3539123535156,2025-03-04,0,0,0,0,0,0
,235.1643829345703,235.1643829345703,235.1643829345703,235.1643829345703,235.1643829345703,2025-03-05,0,0,0,0,0,0
,234.75538635253903,234.75538635253903,234.75538635253903,234.75538635253903,234.75538635253903,2025-03-06,0,0,0,0,0,0
,238.4862518310547,238.4862518310547,238.4862518310547,238.4862518310547,238.4862518310547,2025-03-07,0,0,0,0,0,0
,226.924545288086,226.924545288086,226.924545288086,226.924545288086,226.924545288086,2025-03-10,0,0,0,0,0,0
,220.30075073242188,220.30075073242188,220.30075073242188,220.30075073242188,220.30075073242188,2025-03-11,0,0,0,0,0,0
,216.4501800537109,216.4501800537109,216.4501800537109,216.4501800537109,216.4501800537109,2025-03-12,0,0,0,0,0,0
,209.16799926757807,209.16799926757807,209.16799926757807,209.16799926757807,209.16799926757807,2025-03-13,0,0,0,0,0,0
,212.9687042236328,212.9687042236328,212.9687042236328,212.9687042236328,212.9687042236328,2025-03-14,0,0,0,0,0,0
,213.4774627685547,213.4774627685547,213.4774627685547,213.4774627685547,213.4774627685547,2025-03-17,0,0,0,0,0,0
,212.1706695556641,212.1706695556641,212.1706695556641,212.1706695556641,212.1706695556641,2025-03-18,0,0,0,0,0,0
,214.7144317626953,214.7144317626953,214.7144317626953,214.7144317626953,214.7144317626953,2025-03-19,0,0,0,0,0,0
,213.5772247314453,213.5772247314453,213.5772247314453,213.5772247314453,213.5772247314453,2025-03-20,0,0,0,0,0,0
,217.737045288086,217.737045288086,217.737045288086,217.737045288086,217.737045288086,2025-03-21,0,0,0,0,0,0
,220.19102478027344,220.19102478027344,220.19102478027344,220.19102478027344,220.19102478027344,2025-03-24,0,0,0,0,0,0
,223.2036590576172,223.2036590576172,223.2036590576172,223.2036590576172,223.2036590576172,2025-03-25,0,0,0,0,0,0
,220.98907470703125,220.98907470703125,220.98907470703125,220.98907470703125,220.98907470703125,2025-03-26,0,0,0,0,0,0
,223.3034210205078,223.3034210205078,223.3034210205078,223.3034210205078,223.3034210205078,2025-03-27,0,0,0,0,0,0
,217.3679351806641,217.3679351806641,217.3679351806641,217.3679351806641,217.3679351806641,2025-03-28,0,0,0,0,0,0
,221.58761596679688,221.58761596679688,221.58761596679688,221.58761596679688,221.58761596679688,2025-03-31,0,0,0,0,0,0
,222.64503479003903,222.64503479003903,222.64503479003903,222.64503479003903,222.64503479003903,2025-04-01,0,0,0,0,0,0
,223.34332275390625,223.34332275390625,223.34332275390625,223.34332275390625,223.34332275390625,2025-04-02,0,0,0,0,0,0
,202.69384765625,202.69384765625,202.69384765625,202.69384765625,202.69384765625,2025-04-03,0,0,0,0,0,0
,187.92002868652344,187.92002868652344,187.92002868652344,187.92002868652344,187.92002868652344,2025-04-04,0,0,0,0,0,0
,181.0169219970703,181.0169219970703,181.0169219970703,181.0169219970703,181.0169219970703,2025-04-07,0,0,0,0,0,0
,171.9989776611328,171.9989776611328,171.9989776611328,171.9989776611328,171.9989776611328,2025-04-08,0,0,0,0,0,0
,198.3644561767578,198.3644561767578,198.3644561767578,198.3644561767578,198.3644561767578,2025-04-09,0,0,0,0,0,0
,189.9550323486328,189.9550323486328,189.9550323486328,189.9550323486328,189.9550323486328,2025-04-10,0,0,0,0,0,0
,197.6661529541016,197.6661529541016,197.6661529541016,197.6661529541016,197.6661529541016,2025-04-11,0,0,0,0,0,0
,202.02549743652344,202.02549743652344,202.02549743652344,202.02549743652344,202.02549743652344,2025-04-14,0,0,0,0,0,0
,201.6464080810547,201.6464080810547,201.6464080810547,201.6464080810547,201.6464080810547,2025-04-15,0,0,0,0,0,0
,193.795639038086,193.795639038086,193.795639038086,193.795639038086,193.795639038086,2025-04-16,0,0,0,0,0,0
,196.4990234375,196.4990234375,196.4990234375,196.4990234375,196.4990234375,2025-04-17,0,0,0,0,0,0
,192.6883544921875,192.6883544921875,192.6883544921875,192.6883544921875,192.6883544921875,2025-04-21,0,0,0,0,0,0
,199.2522888183593,199.2522888183593,199.2522888183593,199.2522888183593,199.2522888183593,2025-04-22,0,0,0,0,0,0
,204.1004180908203,204.1004180908203,204.1004180908203,204.1004180908203,204.1004180908203,2025-04-23,0,0,0,0,0,0
,207.8612060546875,207.8612060546875,207.8612060546875,207.8612060546875,207.8612060546875,2025-04-24,0,0,0,0,0,0
,208.7689819335937,208.7689819335937,208.7689819335937,208.7689819335937,208.7689819335937,2025-04-25,0,0,0,0,0,0
,209.6268920898437,209.6268920898437,209.6268920898437,209.6268920898437,209.6268920898437,2025-04-28,0,0,0,0,0,0
,210.6942901611328,210.6942901611328,210.6942901611328,210.6942901611328,210.6942901611328,2025-04-29,0,0,0,0,0,0
,211.9811248779297,211.9811248779297,211.9811248779297,211.9811248779297,211.9811248779297,2025-04-30,0,0,0,0,0,0
,212.79913330078125,212.79913330078125,212.79913330078125,212.79913330078125,212.79913330078125,2025-05-01,0,0,0,0,0,0
,204.8485870361328,204.8485870361328,204.8485870361328,204.8485870361328,204.8485870361328,2025-05-02,0,0,0,0,0,0
,198.40435791015625,198.40435791015625,198.40435791015625,198.40435791015625,198.40435791015625,2025-05-05,0,0,0,0,0,0
,198.02528381347656,198.02528381347656,198.02528381347656,198.02528381347656,198.02528381347656,2025-05-06,0,0,0,0,0,0
,195.7707977294922,195.7707977294922,195.7707977294922,195.7707977294922,195.7707977294922,2025-05-07,0,0,0,0,0,0
,197.00778198242188,197.00778198242188,197.00778198242188,197.00778198242188,197.00778198242188,2025-05-08,0,0,0,0,0,0
,198.0452423095703,198.0452423095703,198.0452423095703,198.0452423095703,198.0452423095703,2025-05-09,0,0,0,0,0,0
,210.5510406494141,210.5510406494141,210.5510406494141,210.5510406494141,210.5510406494141,2025-05-12,0,0,0,0,0,0
,212.6886138916016,212.6886138916016,212.6886138916016,212.6886138916016,212.6886138916016,2025-05-13,0,0,0,0,0,0
,212.0892944335937,212.0892944335937,212.0892944335937,212.0892944335937,212.0892944335937,2025-05-14,0,0,0,0,0,0
,211.2102966308593,211.2102966308593,211.2102966308593,211.2102966308593,211.2102966308593,2025-05-15,0,0,0,0,0,0
,211.0205078125,211.0205078125,211.0205078125,211.0205078125,211.0205078125,2025-05-16,0,0,0,0,0,0
,208.54331970214844,208.54331970214844,208.54331970214844,208.54331970214844,208.54331970214844,2025-05-19,0,0,0,0,0,0
,206.62550354003903,206.62550354003903,206.62550354003903,206.62550354003903,206.62550354003903,2025-05-20,0,0,0,0,0,0
,201.86090087890625,201.86090087890625,201.86090087890625,201.86090087890625,201.86090087890625,2025-05-21,0,0,0,0,0,0
,201.13172912597656,201.13172912597656,201.13172912597656,201.13172912597656,201.13172912597656,2025-05-22,0,0,0,0,0,0
,195.04864501953125,195.04864501953125,195.04864501953125,195.04864501953125,195.04864501953125,2025-05-23,0,0,0,0,0,0
