Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,3944.845576590933,3944.845576590933,3944.845576590933,3944.845576590933,3944.845576590933,2024-03-19,0,0,0,0,0,0
,3881.309457241605,3881.309457241605,3881.309457241605,3881.309457241605,3881.309457241605,2024-03-20,0,0,0,0,0,0
,3885.252776197185,3885.252776197185,3885.252776197185,3885.252776197185,3885.252776197185,2024-03-21,0,0,0,0,0,0
,3794.646813799024,3794.646813799024,3794.646813799024,3794.646813799024,3794.646813799024,2024-03-22,0,0,0,0,0,0
,3773.2248410803513,3773.2248410803513,3773.2248410803513,3773.2248410803513,3773.2248410803513,2024-03-26,0,0,0,0,0,0
,3786.3704117242414,3786.3704117242414,3786.3704117242414,3786.3704117242414,3786.3704117242414,2024-03-27,0,0,0,0,0,0
,3748.9789017480143,3748.9789017480143,3748.9789017480143,3748.9789017480143,3748.9789017480143,2024-03-28,0,0,0,0,0,0
,3795.328466689312,3795.328466689312,3795.328466689312,3795.328466689312,3795.328466689312,2024-04-01,0,0,0,0,0,0
,3787.83056874682,3787.83056874682,3787.83056874682,3787.83056874682,3787.83056874682,2024-04-02,0,0,0,0,0,0
,3749.8552054933216,3749.8552054933216,3749.8552054933216,3749.8552054933216,3749.8552054933216,2024-04-03,0,0,0,0,0,0
,3871.4745363238826,3871.4745363238826,3871.4745363238826,3871.4745363238826,3871.4745363238826,2024-04-04,0,0,0,0,0,0
,3873.519647085271,3873.519647085271,3873.519647085271,3873.519647085271,3873.519647085271,2024-04-05,0,0,0,0,0,0
,3878.388378745376,3878.388378745376,3878.388378745376,3878.388378745376,3878.388378745376,2024-04-08,0,0,0,0,0,0
,3879.3618511619097,3879.3618511619097,3879.3618511619097,3879.3618511619097,3879.3618511619097,2024-04-09,0,0,0,0,0,0
,3852.4868465326495,3852.4868465326495,3852.4868465326495,3852.4868465326495,3852.4868465326495,2024-04-10,0,0,0,0,0,0
,3866.703469073994,3866.703469073994,3866.703469073994,3866.703469073994,3866.703469073994,2024-04-12,0,0,0,0,0,0
,3896.30461271825,3896.30461271825,3896.30461271825,3896.30461271825,3896.30461271825,2024-04-15,0,0,0,0,0,0
,3799.515299796274,3799.515299796274,3799.515299796274,3799.515299796274,3799.515299796274,2024-04-16,0,0,0,0,0,0
,3774.977738832576,3774.977738832576,3774.977738832576,3774.977738832576,3774.977738832576,2024-04-18,0,0,0,0,0,0
,3737.1964239670265,3737.1964239670265,3737.1964239670265,3737.1964239670265,3737.1964239670265,2024-04-19,0,0,0,0,0,0
,3736.222708413117,3736.222708413117,3736.222708413117,3736.222708413117,3736.222708413117,2024-04-22,0,0,0,0,0,0
,3775.22099053578,3775.22099053578,3775.22099053578,3775.22099053578,3775.22099053578,2024-04-23,0,0,0,0,0,0
,3787.830855772767,3787.830855772767,3787.830855772767,3787.830855772767,3787.830855772767,2024-04-24,0,0,0,0,0,0
,3711.1005278852026,3711.1005278852026,3711.1005278852026,3711.1005278852026,3711.1005278852026,2024-04-25,0,0,0,0,0,0
,3753.8959532403615,3753.8959532403615,3753.8959532403615,3753.8959532403615,3753.8959532403615,2024-04-26,0,0,0,0,0,0
,3737.19630610978,3737.19630610978,3737.19630610978,3737.19630610978,3737.19630610978,2024-04-29,0,0,0,0,0,0
,3770.303409041968,3770.303409041968,3770.303409041968,3770.303409041968,3770.303409041968,2024-04-30,0,0,0,0,0,0
,3678.821326868952,3678.821326868952,3678.821326868952,3678.821326868952,3678.821326868952,2024-05-02,0,0,0,0,0,0
,3787.976967494884,3787.976967494884,3787.976967494884,3787.976967494884,3787.976967494884,2024-05-03,0,0,0,0,0,0
,3751.802684840144,3751.802684840144,3751.802684840144,3751.802684840144,3751.802684840144,2024-05-06,0,0,0,0,0,0
,3827.5595549362256,3827.5595549362256,3827.5595549362256,3827.5595549362256,3827.5595549362256,2024-05-07,0,0,0,0,0,0
,3856.965794590127,3856.965794590127,3856.965794590127,3856.965794590127,3856.965794590127,2024-05-08,0,0,0,0,0,0
,3857.939783042688,3857.939783042688,3857.939783042688,3857.939783042688,3857.939783042688,2024-05-09,0,0,0,0,0,0
,3858.523985900126,3858.523985900126,3858.523985900126,3858.523985900126,3858.523985900126,2024-05-10,0,0,0,0,0,0
,3782.475292465661,3782.475292465661,3782.475292465661,3782.475292465661,3782.475292465661,2024-05-13,0,0,0,0,0,0
