Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,451.9764099121094,451.9764099121094,451.9764099121094,451.9764099121094,451.9764099121094,2024-12-17,0,0,0,0,0,0
,434.9997253417969,434.9997253417969,434.9997253417969,434.9997253417969,434.9997253417969,2024-12-18,0,0,0,0,0,0
,434.6416931152344,434.6416931152344,434.6416931152344,434.6416931152344,434.6416931152344,2024-12-19,0,0,0,0,0,0
,434.2140808105469,434.2140808105469,434.2140808105469,434.2140808105469,434.2140808105469,2024-12-20,0,0,0,0,0,0
,432.8714294433594,432.8714294433594,432.8714294433594,432.8714294433594,432.8714294433594,2024-12-23,0,0,0,0,0,0
,436.9291076660156,436.9291076660156,436.9291076660156,436.9291076660156,436.9291076660156,2024-12-24,0,0,0,0,0,0
,435.7157897949219,435.7157897949219,435.7157897949219,435.7157897949219,435.7157897949219,2024-12-26,0,0,0,0,0,0
,428.17718505859375,428.17718505859375,428.17718505859375,428.17718505859375,428.17718505859375,2024-12-27,0,0,0,0,0,0
,422.5083618164063,422.5083618164063,422.5083618164063,422.5083618164063,422.5083618164063,2024-12-30,0,0,0,0,0,0
,419.1965637207031,419.1965637207031,419.1965637207031,419.1965637207031,419.1965637207031,2024-12-31,0,0,0,0,0,0
,416.2925109863281,416.2925109863281,416.2925109863281,416.2925109863281,416.2925109863281,2025-01-02,0,0,0,0,0,0
,421.0364685058594,421.0364685058594,421.0364685058594,421.0364685058594,421.0364685058594,2025-01-03,0,0,0,0,0,0
,425.5118713378906,425.5118713378906,425.5118713378906,425.5118713378906,425.5118713378906,2025-01-06,0,0,0,0,0,0
,420.0617980957031,420.0617980957031,420.0617980957031,420.0617980957031,420.0617980957031,2025-01-07,0,0,0,0,0,0
,422.2398071289063,422.2398071289063,422.2398071289063,422.2398071289063,422.2398071289063,2025-01-08,0,0,0,0,0,0
,416.6605224609375,416.6605224609375,416.6605224609375,416.6605224609375,416.6605224609375,2025-01-10,0,0,0,0,0,0
,414.9101257324219,414.9101257324219,414.9101257324219,414.9101257324219,414.9101257324219,2025-01-13,0,0,0,0,0,0
,413.3984375,413.3984375,413.3984375,413.3984375,413.3984375,2025-01-14,0,0,0,0,0,0
,423.9802551269531,423.9802551269531,423.9802551269531,423.9802551269531,423.9802551269531,2025-01-15,0,0,0,0,0,0
,422.25970458984375,422.25970458984375,422.25970458984375,422.25970458984375,422.25970458984375,2025-01-16,0,0,0,0,0,0
,426.6853942871094,426.6853942871094,426.6853942871094,426.6853942871094,426.6853942871094,2025-01-17,0,0,0,0,0,0
,426.1583251953125,426.1583251953125,426.1583251953125,426.1583251953125,426.1583251953125,2025-01-21,0,0,0,0,0,0
,443.7615966796875,443.7615966796875,443.7615966796875,443.7615966796875,443.7615966796875,2025-01-22,0,0,0,0,0,0
,444.2687683105469,444.2687683105469,444.2687683105469,444.2687683105469,444.2687683105469,2025-01-23,0,0,0,0,0,0
,441.6332702636719,441.6332702636719,441.6332702636719,441.6332702636719,441.6332702636719,2025-01-24,0,0,0,0,0,0
