Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2025-05-27,1548.3150634765625,1560.9375134619054,1534.805197163501,1557.9791380318973,7775714
2025-05-28,1549.991455078125,1565.6707476113982,1548.216381776405,1559.0637576996792,3623370
2025-05-29,1563.5999755859375,1586.5767391705513,1554.7248494526432,1566.9528250893914,8609500
2025-05-30,1562.699951171875,1572.0,1555.0999755859375,1571.0,13148092
2025-06-02,1553.800048828125,1560.0,1539.0,1560.0,4374509
2025-06-03,1543.0,1567.300048828125,1535.5999755859375,1559.0,6853403
2025-06-04,1551.199951171875,1557.300048828125,1541.4000244140625,1543.0,4548307
2025-06-05,1554.300048828125,1567.699951171875,1541.5999755859375,1547.9000244140625,6948539
2025-06-06,1563.800048828125,1568.9000244140625,1543.0999755859375,1554.699951171875,3960020
2025-06-09,1572.9000244140625,1588.0,1571.0,1578.0,2903202
2025-06-10,1596.0,1607.5,1577.5,1584.0,8591925
2025-06-11,1631.0999755859375,1634.5999755859375,1590.0999755859375,1590.0999755859375,10597410
2025-06-12,1608.5999755859375,1628.0,1598.0999755859375,1617.0,10483574
2025-06-13,1602.0,1609.0,1570.199951171875,1576.0,6968315
2025-06-16,1623.800048828125,1634.800048828125,1597.0999755859375,1600.0,5591842
2025-06-17,1639.9000244140625,1647.4000244140625,1615.5999755859375,1620.699951171875,7622083
2025-06-18,1632.9000244140625,1644.699951171875,1621.0,1621.0,5629707
2025-06-19,1618.4000244140625,1630.0,1611.5,1623.9000244140625,5147760
2025-06-20,1622.9000244140625,1630.699951171875,1608.9000244140625,1619.0,9202821
2025-06-23,1584.0,1601.0,1575.4000244140625,1601.0,7943676
2025-06-24,1581.5999755859375,1609.0,1576.5999755859375,1601.0,8083992
2025-06-25,1614.9000244140625,1619.9000244140625,1585.0999755859375,1590.0,7813533
2025-06-26,1616.0,1624.0,1606.5999755859375,1608.800048828125,6519233
2025-06-27,1608.0,1629.5999755859375,1602.4000244140625,1619.0,8912268
2025-06-30,1601.800048828125,1615.0,1594.0999755859375,1615.0,6294505
2025-07-01,1606.800048828125,1617.699951171875,1600.5,1609.0,4178937
2025-07-02,1610.5,1649.0,1603.4000244140625,1618.0,8653641
2025-07-03,1618.699951171875,1632.4000244140625,1615.0,1618.5,5259695
2025-07-04,1640.699951171875,1643.4000244140625,1612.300048828125,1625.0,4411273
2025-07-07,1627.0,1644.0,1623.0,1640.0,3294523
2025-07-08,1638.699951171875,1646.199951171875,1621.5,1628.0,4590681
2025-07-09,1633.699951171875,1638.0,1623.5999755859375,1637.800048828125,4580828
2025-07-10,1615.800048828125,1638.9000244140625,1607.0999755859375,1638.9000244140625,5330179
2025-07-11,1594.9000244140625,1607.0999755859375,1563.0,1579.0999755859375,11391755
2025-07-14,1570.300048828125,1591.800048828125,1559.800048828125,1591.800048828125,9173426
2025-07-15,1585.5999755859375,1603.5999755859375,1564.0,1565.0999755859375,7614807
2025-07-16,1607.9000244140625,1612.0,1578.5,1579.0,6223491
2025-07-17,1583.5,1610.0,1580.0999755859375,1598.0,7374814
2025-07-18,1586.0999755859375,1599.300048828125,1580.0,1592.0999755859375,5161833
2025-07-21,1584.300048828125,1589.0,1566.800048828125,1580.0,3682661
2025-07-22,1570.9000244140625,1585.800048828125,1565.0,1565.0,8473741
2025-07-23,1574.5,1591.9000244140625,1550.0,1576.300048828125,8035026
2025-07-24,1552.5,1582.0,1548.199951171875,1580.0,14169664
2025-07-25,1515.699951171875,1549.5,1511.300048828125,1543.4000244140625,10851259
2025-07-28,1516.0,1519.300048828125,1482.5,1513.9000244140625,6439855
2025-07-29,1513.699951171875,1517.199951171875,1496.0999755859375,1512.9000244140625,7070448
2025-07-30,1519.0,1521.699951171875,1506.0,1519.9000244140625,5719051
2025-07-31,1509.0,1527.0999755859375,1497.0,1509.699951171875,6851407
2025-08-01,1469.5999755859375,1498.699951171875,1465.5,1493.9000244140625,8702978
2025-08-04,1480.5,1482.800048828125,1451.0,1461.5,8610216
2025-08-05,1460.300048828125,1478.699951171875,1455.0,1478.699951171875,10213323
2025-08-06,1436.699951171875,1456.0999755859375,1430.300048828125,1452.0,10566934
2025-08-07,1436.9000244140625,1442.0,1414.199951171875,1430.0,9892020
2025-08-08,1423.0999755859375,1433.199951171875,1417.0999755859375,1425.0,10048009
2025-08-11,1428.199951171875,1433.4000244140625,1414.0,1419.9000244140625,6625368
2025-08-12,1424.0999755859375,1441.0,1421.0,1428.199951171875,9899184
2025-08-13,1426.5999755859375,1434.0,1422.4000244140625,1425.0,10318063
2025-08-14,1447.699951171875,1470.0,1426.199951171875,1426.199951171875,12902347
2025-08-18,1435.800048828125,1464.699951171875,1429.5999755859375,1464.699951171875,7254561
2025-08-19,1440.0,1449.4000244140625,1432.699951171875,1432.699951171875,3986094
2025-08-20,1496.199951171875,1499.0,1440.699951171875,1440.699951171875,10413061
2025-08-21,1496.4000244140625,1508.0,1484.300048828125,1508.0,6565539
2025-08-22,1487.5,1504.300048828125,1486.0999755859375,1498.0999755859375,5543397
2025-08-25,1532.0999755859375,1539.0,1506.699951171875,1506.699951171875,10694531
2025-08-26,1529.5999755859375,1538.4000244140625,1518.5999755859375,1523.0,15994798
2025-08-27,1529.5999755859375,1529.5999755859375,1529.5999755859375,1529.5999755859375,0
2025-08-28,1500.0999755859375,1529.5999755859375,1498.0,1529.5999755859375,5443364
2025-08-29,1469.5999755859375,1501.9000244140625,1467.699951171875,1501.9000244140625,8169075
2025-09-01,1499.4000244140625,1503.4000244140625,1476.199951171875,1476.699951171875,4546057
2025-09-02,1498.699951171875,1512.800048828125,1486.300048828125,1499.4000244140625,5218763
2025-09-03,1479.0999755859375,1501.9000244140625,1473.0,1500.0,4623483
2025-09-04,1463.0,1484.0,1460.0999755859375,1484.0,5787724
2025-09-05,1444.5999755859375,1472.699951171875,1433.0,1470.0,5466487
2025-09-08,1432.9000244140625,1458.0,1428.300048828125,1451.0,3811567
2025-09-09,1494.5,1495.5999755859375,1472.5,1481.0,4550838
