Price,Open,High,Low,Close,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-11-21,3419.255681816323,3438.1511114703258,3401.1858762052193,3410.12353515625,1807236
2023-11-22,3400.2140738811468,3431.9331188697365,3381.853012754233,3429.50439453125,1798051
2023-11-23,3429.359397825661,3442.9602566272356,3400.214700393715,3408.2294921875,2729804
2023-11-24,3394.628596856334,3404.6349903029873,3354.554638318644,3358.537841796875,1989733
2023-11-28,3358.537579518945,3381.9989639949645,3335.124579790223,3371.21533203125,1689195
2023-11-29,3381.7564585834666,3417.7015861237105,3376.7047583651943,3413.57275390625,1441634
2023-11-30,3399.6804706732564,3416.390050439064,3381.7565284654547,3388.16845703125,3266235
2023-12-01,3400.2142213855973,3416.6809256788547,3390.547945535111,3411.531982421875,1172141
2023-12-04,3443.591496909269,3446.6518323292607,3398.2715890288414,3412.3095703125,1625213
2023-12-05,3437.131014250938,3437.131014250938,3402.934619713637,3430.91357421875,1377656
2023-12-06,3431.8851550865443,3509.8472159148896,3424.647365925969,3501.3466796875,1896572
2023-12-07,3502.2212117139416,3527.04282696115,3489.300348157023,3511.8388671875,1967653
2023-12-08,3529.4226796795115,3541.080558059956,3499.3551157926445,3523.30224609375,1641155
2023-12-11,3519.6102433835927,3548.852180752397,3511.9355689624736,3539.0400390625,1102503
2023-12-12,3535.2029282758335,3592.9579521944743,3527.479631434828,3567.407958984375,2236866
2023-12-13,3539.6719048070327,3545.9379669290024,3461.4183496350784,3491.097412109375,3850968
2023-12-14,3526.5085324227534,3573.1400502068564,3524.1770514056143,3562.696533203125,3290396
2023-12-15,3562.161371642584,3784.8753938761374,3562.161371642584,3750.921875,8531230
2023-12-18,3748.1050874568027,3816.9836229920093,3720.951756388531,3749.173583984375,2521612
2023-12-19,3735.378614376225,3745.190757103993,3681.946670607514,3707.399658203125,2004435
2023-12-20,3718.1340527743664,3787.6441900858877,3659.1646738589857,3672.27978515625,2586083
2023-12-21,3649.1587643261396,3698.170380027617,3636.6266400807763,3679.517822265625,1517562
2023-12-22,3691.6615378407755,3736.3014503162685,3654.744922462368,3714.977294921875,2413058
2023-12-26,3710.945629897685,3724.692116519827,3682.0921913636303,3687.33837890625,1285231
2023-12-27,3690.6896203399274,3709.342176407596,3660.573437599591,3702.541748046875,1293976
2023-12-28,3714.977209386298,3728.578067370453,3683.9867778516013,3691.564208984375,1682889
2023-12-29,3683.889764847791,3713.6174511766944,3658.048038186448,3685.249755859375,1574996
2024-01-01,3681.946294829313,3722.748865906577,3665.430968440897,3702.44482421875,825907
2024-01-02,3702.445040999075,3702.445040999075,3659.8451164485364,3675.34033203125,1344068
2024-01-03,3659.6021678669076,3664.313988386467,3581.931603855905,3586.49755859375,1803075
2024-01-04,3596.2125560606937,3612.97075599101,3546.9094461207787,3562.259033203125,3598144
2024-01-05,3570.2249308608934,3640.9008121452825,3570.0793022663765,3631.33154296875,1963127
2024-01-08,3631.3318049280083,3633.1291560173595,3567.699219937264,3573.43115234375,1067805
2024-01-09,3604.1786136578194,3645.3699243725832,3577.7541379650293,3584.7001953125,1370944
2024-01-10,3584.7975412418177,3622.9285177983875,3582.854561544668,3607.1904296875,1292227
2024-01-11,3617.8280733187185,3665.431074283438,3601.3127464534073,3629.048828125,1777909
2024-01-12,3738.293177876765,3793.910975286704,3712.645939096034,3772.10107421875,6813450
2024-01-15,3847.0998804562737,3851.9573298002842,3774.238140296117,3792.502197265625,2801505
2024-01-16,3787.838494652686,3787.838494652686,3745.6273129036203,3751.21337890625,1432672
2024-01-17,3710.1200196313043,3798.476980780103,3703.8539570577464,3773.849853515625,3458696
2024-01-18,3786.867233696485,3797.3593709539373,3751.893600958396,3791.336181640625,2239110
2024-01-19,3841.3860411165238,3859.448879806103,3812.222714281603,3839.4873046875,2941975
